Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,468.0,8.0,51.0,1665.0,0.1,43.006999999999984,0.0,0.0,258.78251552581787,,,,,,,,,,,,,,,,,,,,,19.1232547393298,13.802055524141387,42.11590369979006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,497.0,9.0,29.0,1694.0,0.1,22.006000000000007,0.0,0.0,261.9704587459564,,,,,,,,,,,,,,,,,,,,,9.418743596886419,7.51760775015287,21.776387434171202,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,543.0,10.0,46.0,1740.0,0.1,33.01199999999997,0.0,0.0,266.3975510597229,,,,,,,,,,,,,,,,,,,,,12.782249821504575,11.211261287649858,32.488961943135116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,598.0,11.0,55.0,1795.0,0.1,46.00799999999998,0.0,0.0,271.55098581314087,,,,,,,,,,,,,,,,,,,,,20.187247754850663,14.784296511565573,44.98763164914987,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,627.0,12.0,29.0,1824.0,0.1,21.00700000000001,0.0,0.0,274.5349862575531,,,,,,,,,,,,,,,,,,,,,8.635087961839186,7.272727817145507,20.79815796688246,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,661.0,13.0,34.0,1858.0,0.1,22.011000000000013,0.0,0.0,277.91971802711487,,,,,,,,,,,,,,,,,,,,,8.038267767164848,7.7029187424039405,21.781239593864534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,704.0,14.0,43.0,1901.0,0.1,35.006999999999984,0.0,0.0,282.2976641654968,,,,,,,,,,,,,,,,,,,,,15.292330383212152,11.481928331948586,34.41823183896798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,810.0,15.0,106.0,2007.0,0.1,72.03300000000016,0.0,0.0,291.80411076545715,,,,,,,,,,,,,,,,,,,,,24.897650576267853,23.73876017714754,69.53284519646333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,979.0,16.0,169.0,2176.0,0.1,154.01400000000007,0.0,0.0,306.78055691719055,,,,,,,,,,,,,,,,,,,,,68.00896735605149,44.62868802441437,142.80595361810995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1013.0,17.0,34.0,2210.0,0.1,26.00700000000001,0.0,0.0,310.19826459884644,,,,,,,,,,,,,,,,,,,,,10.998768816336705,8.804071879195629,25.684384945751116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
